Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-08-28 06:55:57,false,"Treadmill Running","6.01","357","00:30:54","143","156","2.9","161","222","5:09","4:09","--","--","1.21","8.2","9.9","266","--","339","0.0","334","428","24.0","No","00:00:01.5","7","28.0","00:30:31","00:30:54","--","--"
Treadmill Running,2024-08-24 10:19:49,false,"Treadmill Running","6.23","375","00:31:21","146","158","3.0","164","180","5:02","4:26","--","--","1.21","8.1","9.8","262","--","345","0.0","341","402","26.0","No","00:01:32.4","7","28.0","00:31:06","00:31:21","--","--"
Treadmill Running,2024-08-20 07:56:25,false,"Treadmill Running","5.11","318","00:25:53","154","170","3.1","164","179","5:04","4:01","--","--","1.20","7.7","9.2","261","--","343","0.0","330","465","25.0","No","00:00:31.4","6","28.0","00:25:51","00:25:53","--","--"
Treadmill Running,2024-08-16 12:28:46,false,"Treadmill Running","14.04","938","01:10:21","164","177","4.6","165","188","5:01","3:39","--","--","1.21","7.9","9.6","258","--","348","0.0","341","499","28.0","No","00:00:35.9","15","34.0","01:09:44","01:10:21","--","--"
Treadmill Running,2024-08-13 07:40:37,false,"Treadmill Running","6.48","459","00:32:14","169","178","3.9","165","177","4:58","4:38","--","--","1.22","8.1","9.8","261","--","346","0.0","344","381","27.0","No","00:02:24.8","7","33.0","00:32:12","00:32:14","--","--"
Treadmill Running,2024-08-11 08:15:11,false,"Treadmill Running","5.65","428","00:32:32","164","183","3.5","154","178","5:46","4:17","--","--","1.12","8.0","8.9","302","--","320","0.0","289","424","26.0","No","00:03:01.9","6","29.0","00:32:13","00:33:43","--","--"
Treadmill Running,2024-08-10 10:04:01,false,"Treadmill Running","9.01","576","00:48:05","154","168","3.7","159","180","5:20","4:22","--","--","1.19","8.1","9.5","271","--","333","0.0","319","404","25.0","No","00:00:04.3","10","30.0","00:47:22","00:49:05","--","--"
Treadmill Running,2024-08-04 08:02:30,false,"Treadmill Running","5.12","365","00:30:00","155","176","3.1","153","240","5:52","3:42","--","--","1.11","7.8","8.6","304","--","317","0.0","281","502","24.0","No","00:00:33.0","6","31.0","00:29:38","00:30:00","--","--"
Treadmill Running,2024-08-03 09:49:33,false,"Treadmill Running","10.00","580","00:50:06","147","159","3.3","167","225","5:01","4:16","--","--","1.21","7.9","9.5","256","--","351","0.0","345","425","26.0","No","00:01:01.9","11","27.0","00:49:43","00:52:22","--","--"
Treadmill Running,2024-08-01 07:47:36,false,"Treadmill Running","5.01","328","00:25:52","158","171","3.2","160","187","5:10","4:04","--","--","1.22","7.5","9.1","246","--","350","0.0","323","425","25.0","No","00:00:01.5","6","30.0","00:24:38","00:25:52","--","--"
Treadmill Running,2024-07-31 07:12:23,false,"Treadmill Running","10.15","657","00:51:46","159","177","3.8","161","218","5:06","3:18","--","--","1.21","7.8","9.5","268","--","342","0.0","330","516","24.0","No","00:00:37.2","11","31.0","00:51:44","00:51:46","--","--"
Treadmill Running,2024-07-27 09:16:10,false,"Treadmill Running","10.11","596","00:49:59","147","163","3.3","165","180","4:57","4:31","--","--","1.23","8.1","9.9","261","--","349","0.0","348","390","24.0","No","00:00:32.5","11","29.0","00:49:57","00:49:59","--","--"
